Feature,Coefficient,Abs_Coefficient
OverTime_Encoded,0.6868378339303667,0.6868378339303667
TotalWorkingYears,-0.5640772239842254,0.5640772239842254
MonthlyIncome,-0.5253104091967771,0.5253104091967771
YearsWithCurrManager,-0.4792882430539317,0.4792882430539317
YearsSinceLastPromotion,0.4744153551854607,0.4744153551854607
EnvironmentSatisfaction,-0.42092049782229846,0.42092049782229846
NumCompaniesWorked,0.4114098518446106,0.4114098518446106
StockOptionLevel,-0.40890910413203174,0.40890910413203174
JobLevel,0.3856588398498309,0.3856588398498309
JobSatisfaction,-0.3613373032501611,0.3613373032501611
Age,-0.3104261897550861,0.3104261897550861
JobInvolvement,-0.31019670928496756,0.31019670928496756
DistanceFromHome,0.2781619665682426,0.2781619665682426
YearsAtCompany,0.2701197940375898,0.2701197940375898
RelationshipSatisfaction,-0.24305192133286588,0.24305192133286588
YearsInCurrentRole,-0.23255281021293936,0.23255281021293936
DailyRate,-0.21528862823181874,0.21528862823181874
PercentSalaryHike,-0.2046983905928015,0.2046983905928015
WorkLifeBalance,-0.18525445410037056,0.18525445410037056
Gender_Encoded,0.13568122546330322,0.13568122546330322
PerformanceRating,0.11200002406053468,0.11200002406053468
TrainingTimesLastYear,-0.10859224430849385,0.10859224430849385
HourlyRate,-0.0301401490759061,0.0301401490759061
Education,-0.01821323452800815,0.01821323452800815
MonthlyRate,-0.0029909381189847507,0.0029909381189847507
